;keyword
585;hot
586;furnace
587;him.
588;shirt
589;tie
590;lead
591;pounds
592;threefoot
593;length
594;plunges
595;shaft
596;tub
597;feet.
598;he
599;scrapes
600;shaft.
601;next
602;enters
603;refreshments.
604;pauses.
605;sea
606;boys
607;jump
608;ocean.
609;us.
610;rocks
611;visible
612;narrow
613;jetty
614;extends
615;about
616;ten
617;meters
618;so
619;feet
620;above
621;held
622;sets
623;pylons.
624;lads
625;years
626;old
627;climbs
628;end.
629;jumps
630;lady
631;even
632;though
633;only
634;deep
635;flip
636;repeats
637;later.
638;others
639;simply
640;in.
641;opening
642;kiel
643;canal
644;news
645;empress_augusta_victoria
646;kaiser_wilhelm_ii
647;oxford
648;cambridge
649;university
650;messers.
651;cards
652;play
653;watches
654;waiter
655;brings
656;drinks.
657;pours
658;drinks
659;laughs.
660;sit
661;around
662;table
663;terrace
664;outside
665;bistro.
666;playing
667;calls
668;knocking
669;table.
670;receives
671;order
672;swiftly
673;tray
674;wine
675;glasses.
676;fills
677;glasses
678;follows
679;card
680;game
681;interest
682;applauding
683;laughing
684;loudly.
685;raise
686;toast.
687;players
688;put
689;more
690;money
691;continue
692;game.
693;number
694;73
695;brothers
696;impressive
697;catalogue
698;original
699;movie
700;depicting
701;lively
702;friends
703;remade
704;georges
705;méliès
706;une
707;partie
708;de
709;cartes
710;1896
711;colourised
712;version
713;lumières
714;themselves
715;1897.
716;here
717;elegantlyattired
718;gentlemen
719;shortbrimmed
720;bowler
721;sunny
722;flowerscented
723;patio
724;enthusiastic
725;effervescent
726;beverage
727;probably
728;cards.
729;we
730;garden
731;auguste
732;louis
733;antoine
734;alphonse
735;winckler
736;félicien
737;trewey
738;finally
739;antoines
740;valet
741;féraud.
742;friendly
743;sits
744;same
745;proceeds
746;spectator
747;attention
748;finds
749;entertaining.
750;antoine_féraud
751;antoine_lumière
752;félicien_trewey
753;alphonse_winckler
754;cordeliers'
755;square
756;boulevard
757;diagonal
758;corner
759;lyons
760;cordeliers
761;square.
762;deal
763;depth
764;focus.
765;can
766;sky
767;fronts
768;four
769;buildings
770;five
771;stories
772;tall.
773;busy
774;thoroughfare
775;pedestrians
776;walking
777;crossing
778;between
779;horsedrawn
780;vehicles.
781;doubledecker
782;bus
783;us
784;pulled
785;horses.
786;various
787;tradesmen
788;wagons.
789;van
790;passes.
791;fishing
792;goldfish
793;baby
794;dips
795;hands
796;jug
797;t
798;catch
799;.
800;holds
801;child
802;10
803;11
804;months
805;look
806;clear
807;bowl
808;nearly
809;full
810;swimming
811;dressed
812;gown
813;cap
814;occasional
815;grab
